operation,response resource,attribute,group,description,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
get-/albums/{id}/tracks,track-simple-page,href,href,"A link to the Web API endpoint returning the full result of the request. schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,external_urls,items.artists.external_urls,"Known external URLs for this artist. schema: {""additionalProperties"": {""type"": ""string""}, ""type"": ""object""} schema: {""additionalProperties"": {""type"": ""string""}, ""type"": ""object""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,external_urls,items.linked_from.external_urls,"Known external URLs for this artist. schema: {""additionalProperties"": {""type"": ""string""}, ""type"": ""object""} schema: {""additionalProperties"": {""type"": ""string""}, ""type"": ""object""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,id,items.artists.id,"The Spotify ID for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,id,items.linked_from.id,"The Spotify ID for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,type,items.artists.type,"The object type: 'artist' schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,type,items.linked_from.type,"The object type: 'artist' schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,uri,items.artists.uri,"The Spotify URI for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,artist-simple,uri,items.linked_from.uri,"The Spotify URI for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple,duration_ms,items.duration_ms,"The track length in milliseconds. schema: {""type"": ""integer""} schema: {""type"": ""integer""}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple,external_urls,items.external_urls,"Known external URLs for this track. schema: {""additionalProperties"": {""type"": ""string""}, ""type"": ""object""} schema: {""additionalProperties"": {""type"": ""string""}, ""type"": ""object""}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple,is_local,items.is_local,"Is local schema: {""type"": ""boolean""} schema: {""type"": ""boolean""}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple,preview_url,items.preview_url,"A URL to a 30 second preview (MP3 format) of the track. schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple,uri,items.uri,"The Spotify URI for the track. schema: {""type"": ""string""} schema: {""type"": ""string""}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple-page,limit,limit,"The maximum number of items in the response (as set in the query or by default). schema: {""type"": ""integer""} schema: {""type"": ""integer""}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple-page,next,next,"URL to the next page of items. (null if none) schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple-page,offset,offset,"The offset of the items returned (as set in the query or by default). schema: {""type"": ""integer""} schema: {""type"": ""integer""}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple-page,previous,previous,"URL to the previous page of items. (null if none) schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}",,,,,,,,,,
get-/albums/{id}/tracks,track-simple,explicit,items.explicit,Whether or not the track has explicit lyrics (true = yes it does; false = no it does not OR unknown,,,,,,,,,,
